step,train_loss_step,epoch,val_loss,train_loss_epoch
49,0.04843306168913841,0,,
99,0.019826551899313927,0,,
149,0.015392618253827095,0,,
199,0.012620539404451847,0,,
249,0.011070186272263527,0,,
299,0.010087601840496063,0,,
349,0.008559342473745346,0,,
399,0.008746990002691746,0,,
449,0.006274698302149773,0,,
499,0.008130419999361038,0,,
549,0.008220981806516647,0,,
599,0.006633820943534374,0,,
649,0.006677527446299791,0,,
699,0.006838747765868902,0,,
749,0.006982181686908007,0,,
799,0.006075398065149784,0,,
849,0.006333167664706707,0,,
899,0.005941320676356554,0,,
949,0.006177602801471949,0,,
999,0.006641284096986055,0,,
1049,0.006362693849951029,0,,
1099,0.006064953748136759,0,,
1149,0.006552789360284805,0,,
1199,0.006100672297179699,0,,
1249,0.007116350810974836,0,,
1299,0.006270199082791805,0,,
1349,0.006269671022891998,0,,
1399,0.005787191912531853,0,,
1449,0.005945359356701374,0,,
1499,0.006231339182704687,0,,
1549,0.004867992363870144,0,,
1599,0.0058921948075294495,0,,
1649,0.005829442758113146,0,,
1699,0.006307670846581459,0,,
1749,0.005171877332031727,0,,
1799,0.006428593769669533,0,,
1849,0.00541028892621398,0,,
1899,0.005556081887334585,0,,
1949,0.0053619747050106525,0,,
1999,0.006451463792473078,0,,
2049,0.005405428819358349,0,,
2099,0.005092458333820105,0,,
2149,0.006413696799427271,0,,
2199,0.006144510582089424,0,,
2249,0.006882105488330126,0,,
2299,0.00604815362021327,0,,
2349,0.005846827756613493,0,,
2399,0.006181543227285147,0,,
2449,0.004860653541982174,0,,
2499,0.006038082763552666,0,,
2549,0.00558816734701395,0,,
2599,0.005239071324467659,0,,
2649,0.005278123077005148,0,,
2699,0.005192638840526342,0,,
2749,0.005931613501161337,0,,
2799,0.0048118759877979755,0,,
2849,0.005315616726875305,0,,
2899,0.0058283498510718346,0,,
2949,0.0057037570513784885,0,,
2999,0.006583436857908964,0,,
3049,0.0055664884857833385,0,,
3099,0.005302575416862965,0,,
3149,0.004402242600917816,0,,
3199,0.005112944170832634,0,,
3249,0.006458933465182781,0,,
3299,0.005775946192443371,0,,
3349,0.005293490830808878,0,,
3399,0.006195591297000647,0,,
3449,0.003723474685102701,0,,
3499,0.005547064356505871,0,,
3549,0.005835340823978186,0,,
3599,0.006244370713829994,0,,
3649,0.006595573853701353,0,,
3699,0.006575167644768953,0,,
3749,0.005591025575995445,0,,
3799,0.006260968279093504,0,,
3849,0.004056983161717653,0,,
3899,0.005751316901296377,0,,
3949,0.005629762075841427,0,,
3999,0.005407026968896389,0,,
4049,0.005040937568992376,0,,
4099,0.005342284217476845,0,,
4149,0.00613456591963768,0,,
4199,0.004747606813907623,0,,
4249,0.005594063084572554,0,,
4299,0.007499563507735729,0,,
4349,0.005869788583368063,0,,
4399,0.005063995718955994,0,,
4449,0.005463489796966314,0,,
4499,0.005078314337879419,0,,
4549,0.005242221988737583,0,,
4599,0.00470481812953949,0,,
4649,0.007052415981888771,0,,
4699,0.006105045787990093,0,,
4749,0.0054154349491000175,0,,
4799,0.0053838565945625305,0,,
4849,0.0057428316213190556,0,,
4899,0.005742144770920277,0,,
4949,0.004711129702627659,0,,
4999,0.005224183667451143,0,,
5049,0.00640841806307435,0,,
5099,0.00471876934170723,0,,
5149,0.005891932640224695,0,,
5199,0.00481208274140954,0,,
5249,0.005071843508630991,0,,
5299,0.00633199792355299,0,,
5349,0.007431320380419493,0,,
5399,0.005415217485278845,0,,
5449,0.005735513288527727,0,,
5499,0.004606254864484072,0,,
5549,0.005986680742353201,0,,
5599,0.005382542498409748,0,,
5649,0.005029675550758839,0,,
5699,0.0041975839994847775,0,,
5749,0.005627976730465889,0,,
5799,0.00629686051979661,0,,
5849,0.006000424735248089,0,,
5899,0.0050622085109353065,0,,
5949,0.004834107588976622,0,,
5999,0.0061946650967001915,0,,
6049,0.006850452162325382,0,,
6099,0.005902688484638929,0,,
6149,0.005399215500801802,0,,
6199,0.005554618313908577,0,,
6249,0.004037467297166586,0,,
6299,0.006131808273494244,0,,
6349,0.006581279914826155,0,,
6399,0.005196793470531702,0,,
6449,0.004950784146785736,0,,
6499,0.005780917592346668,0,,
6549,0.006164576858282089,0,,
6599,0.005737813655287027,0,,
6649,0.006526963785290718,0,,
6699,0.004512762185186148,0,,
6749,0.004950319416821003,0,,
6799,0.0050971307791769505,0,,
6849,0.005186837166547775,0,,
6899,0.005772753152996302,0,,
6948,,0,0.006048327311873436,
6948,,0,,0.008476771414279938
6949,0.0053293099626898766,1,,
6999,0.0059219240210950375,1,,
7049,0.005418189335614443,1,,
7099,0.006164150312542915,1,,
7149,0.004138702992349863,1,,
7199,0.006232529878616333,1,,
7249,0.00545168574899435,1,,
7299,0.005825978238135576,1,,
7349,0.005875598639249802,1,,
7399,0.005014084745198488,1,,
7449,0.006504674442112446,1,,
7499,0.004678886383771896,1,,
7549,0.005784548819065094,1,,
7599,0.00593802472576499,1,,
7649,0.005719330161809921,1,,
7699,0.005733873229473829,1,,
7749,0.005646353587508202,1,,
7799,0.004985985811799765,1,,
7849,0.0052022915333509445,1,,
7899,0.005540036596357822,1,,
7949,0.0059226700104773045,1,,
7999,0.005151543766260147,1,,
8049,0.005015277769416571,1,,
8099,0.006063403561711311,1,,
8149,0.005443144589662552,1,,
8199,0.005958454217761755,1,,
8249,0.005441936198621988,1,,
8299,0.005745237227529287,1,,
8349,0.004829610697925091,1,,
8399,0.006515348795801401,1,,
8449,0.005759424064308405,1,,
8499,0.004627978429198265,1,,
8549,0.005808881018310785,1,,
8599,0.0061894855462014675,1,,
8649,0.005521310027688742,1,,
8699,0.004914332181215286,1,,
